smiles,boiling point
C,-164
CCC,-42.1
CC(C)C,-11.7
CCCC,-0.5
CC(C)(C)C,9.5
CCC(C)C,27.8
CCCCC,36.1
CCC(C)(C)C,49.7
CC(C)C(C)C,58
CCCC(C)C,60.3
CCCCCC,69
CC(C)C(C)(C)C,80.9
CCCC(C)(C)C,79.2
CCC(C)(C)CC,86.1
CCC(C)C(C)C,89.8
CC(C)CC(C)C,80.5
CCCCC(C)C,90
CCCC(C)CC,92
CCCC(C)CC,93.5
CC(C)(C)C(C)(C)C,106.5
CCC(C)C(C)(C)C,110
CCC(C)(C)C(C)C,114.7
CC(C)CC(C)(C)C,99.2
CCCCC(C)(C)C,106.8
CCCC(C)(C)CC,112
CCC(C)C(C)CC,118.2
CC(C)C(C)C(C)C,113.4
CCCC(C)C(C)C,115.6
CCC(C)C(C)CC,117.7
CCC(C)CC(C)C,109.4
CC(C)CCC(C)C,109
CCCCCC(C)C,117.6
CCCCC(C)CC,118
CCCC(C)CCC,117.7
CCCC(C)CCC,118.5
CCCCCCCC,125.7
CCC(C)(C)C(C)(C)C,140.27
CCCC(C)C(C)(C)C,131.7
CCC(C)CC(C)(C)C,133.83
CCC(C)C(C)(C)CC,140.5
CC(C)C(C)(C)C(C)C,141.5
CCCC(C)(C)C(C)C,137.7
CCC(C)C(C)C(C)C,141.6
CC(C)(C)CC(C)(C)C,122.7
CCC(C)CC(C)(C)C,126.5
CCC(C)(C)CC(C)C,126.5
CCCCCC(C)(C)C,132.7
CCCCC(C)(C)CC,137.3
CCCC(C)(C)CCC,135.2
CCCC(C)C(C)CC,140.6
CCCC(C)C(C)CC,146.2
CCC(C)C(C)C(C)C,139
CC(C)CC(C)C(C)C,136.73
CC(C)CC(C)C(C)C,131.3
CCCCC(C)C(C)C,140.5
CCCC(C)C(C)CC,140.1
CCCC(C)C(C)CC,140.4
CCCC(C)CC(C)C,133.5
CCC(C)CCC(C)C,133.8
CCC(C)CC(C)CC,136
CCC(C)CCC(C)C,136
CC(C)CCCC(C)C,135.2
CCCCCCC(C)C,142.8
CCCCCC(C)CC,143.3
CCCCC(C)CCC,143
CCCCC(C)CCC,141.2
CCCCCCCCC,151.77
CC(C)C(C)(C)C(C)(C)C,166.05
CCCC(C)(C)C(C)(C)C,158
CCC(C)C(C)C(C)(C)C,168
CCC(C)(C)C(C)(C)CC,170.5
CC(C(C)(C)C)C(C)(C)C,159.29
CCC(C)C(C)C(C)(C)C,154.9
CCC(C)(C)C(C)C(C)C,162.2
CC(C)CC(C)C(C)(C)C,148.4
CCCCC(C)C(C)(C)C,158
CCCC(C)CC(C)(C)C,159
CCCC(C)C(C)(C)CC,164
CCC(C)CC(C)(C)CC,165
CCC(C)C(C)(C)C(C)C,164.59
CCCC(C)(C)C(C)CC,164
CCC(C)C(C)C(C)CC,170
CC(C)CC(C)(C)C(C)C,153
CCCCC(C)(C)C(C)C,160.1
CCCC(C)C(C)C(C)C,169
CCC(C)C(C)CC(C)C,174
CCC(C)(C)CC(C)(C)C,153.3
CC(C)C(C)CC(C)(C)C,148.2
CCCC(C)CC(C)(C)C,147.7
CCC(C)CCC(C)(C)C,147
CCC(C)CC(C)(C)CC,155.68
CCC(C)C(C)CC(C)C,158
CC(C)(C)CCC(C)(C)C,137.46
CCC(C)CCC(C)(C)C,148
CCC(C)(C)CCC(C)C,152.8
CC(C)CCCC(C)(C)C,148.2
CCCCCCC(C)(C)C,155
CCCCCC(C)(C)CC,161.2
CCCCC(C)(C)CCC,157.5
CCCCC(C)C(C)CC,163.8
CCCC(C)C(C)CCC,166.3
CC(C)C(C)C(C)C(C)C,161
CCCC(C)C(C)C(C)C,163
CCC(C)CC(C)C(C)C,164
CCC(C)C(C)CC(C)C,164
CCC(C)C(C)C(C)CC,164
CC(C)CC(C)(C)C(C)C,157.04
CCCC(C)(C)CC(C)C,163
CCC(C)CC(C)C(C)C,157
CCC(C)C(C)CC(C)C,157
CC(C)CCC(C)C(C)C,155.7
CCCCCC(C)C(C)C,164.31
CCCCC(C)CC(C)C,166
CCCCC(C)C(C)CC,166
CCCCC(C)(C)CCC,160
CCCC(C)CC(C)CC,167
CCCC(C)C(C)CCC,162.1
CCCC(C)C(C)CCC,167
CC(C)CC(C)CC(C)C,144.8
CCCCC(C)CC(C)C,153
CCCC(C)CCC(C)C,160
CCCC(C)CC(C)CC,160
CCCC(C)CC(C)CC,158.3
CCCC(C)CCC(C)C,156.8
CCC(C)CCCC(C)C,159.7
CCC(C)CCC(C)CC,160
CCC(C)CCCC(C)C,158.84
CCCCCCCC(C)C,167
CCCCCCC(C)CC,167.8
CCCCCC(C)CCC,165.7
CCCCCC(C)CCC,166
CCCCC(C)CCCC,165.1
CCCCC(C)CCCC,163.64
CCCCCC(C)CCC,162
CCCCCCCCCC,174.12
